target,anchor,method,lam,scope,n,rmse_mean,rmse_sd,rmse_med,rmse_p10,rmse_p90,rmse_beq_mean,bias_mean,delta_mean,win_frac,n_runs,n_splits,E_mean,E_sd
Canada,none,direct_pseudo,1.0,allA,319,32.04015764320542,0.3785002825497641,31.865261108399892,31.797638564758586,32.352635335574455,30.92664218179959,22.146707715180327,9.525732855711142,0.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,325,24.818552517480963,0.6606304088713966,25.06527484615508,24.26910975323222,25.269306350260052,23.443158751981098,2.5662330695044377,-2.438259079516657,1.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,355,27.3316185624287,0.5173467017778698,27.044118098135844,27.026324854137158,27.75191245643739,24.17872048173831,-1.5691475383484452,-0.3649657331749694,0.6666666666666666,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,360,20.052520757264233,0.11149730673486452,20.072097019621797,19.96044482648967,20.13676618309577,21.50592746344678,8.842421803802454,-2.8873867959070054,1.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,363,37.087376586674814,0.4082949536719196,37.05516927686903,36.767945154553374,37.41969094271857,23.716368553849264,5.0285915803465615,5.040310066905505,0.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,375,25.78425841405353,0.3348102789129899,25.89284022654901,25.50547500615226,26.019609096956604,20.53282412221014,-0.13127515023560185,-3.67768895181473,1.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,396,31.36728442666678,0.5876714142742866,31.644679850491837,30.882743835608174,31.74086684819537,28.669267318621593,19.202211107203123,11.909574214504977,0.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,404,30.77997649355027,1.2373465837562017,31.386667350907892,29.7624343377869,31.55484230637059,20.42516400935565,19.627016271949604,9.3025591771299,0.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,406,27.952061900494574,0.47167254851979523,27.88163606071998,27.591976930595653,28.340317206303332,19.957235397200154,-5.724652592423687,-2.345882838328251,1.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,allA,420,23.166605500927243,0.22228199698949444,23.146670115856423,22.993304163877188,23.34788099200562,23.57073973273069,11.001133712809397,2.631189175037361,0.0,3,1,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,n,0,24.754852346330598,5.044780785971943,24.413106355519858,19.19706493650296,30.761763320738623,20.081892535448215,-0.6847715623082044,-0.6136707248893288,0.7,30,10,1.6166886671406269,0.0
Canada,none,direct_pseudo,1.0,n,3,24.816362877033217,5.114846595268817,24.579685585629953,19.269926186094153,30.77499581717205,20.09162801223087,-0.609634032874975,-0.5521601941867086,0.6866666666666666,150,10,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,n,5,24.609625994071116,4.821797155301513,23.969656083339167,19.215978010044644,30.971771614558094,20.094810503045718,-0.2702752385491827,-0.7588970771488068,0.6533333333333333,150,10,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,n,10,24.738637684465452,5.015637073229086,23.63806940644674,19.216975626159734,31.47662378427617,20.23924707147347,-0.6570654493145014,-0.6298853867544748,0.6666666666666666,150,10,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,n,20,24.819986765022154,4.670478322105507,25.88760353208907,19.3272068488034,30.815402298254988,20.427608041511576,0.07245208700557043,-0.5485363061977708,0.6533333333333333,150,10,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,n,40,25.598588609258513,5.167205364032534,26.617884238185688,19.19965038397153,31.6643066457513,20.60133618899354,0.36033684856282794,0.23006553803858945,0.5266666666666666,150,10,1.616688667140627,0.0
Canada,none,direct_pseudo,1.0,n,80,26.548927978645292,4.969657787269699,27.507969266220794,19.489610648183117,32.153695392758365,20.981117790914173,2.2261509540268296,1.1804049074253655,0.46,150,10,1.616688667140627,0.0
Canada,stefan,both,0.25,allA,319,28.134191921711903,0.18687290612734983,28.142505607091735,27.983141859827363,28.281916509444514,22.167735074987934,20.744159076119747,5.619767134217631,0.0,3,1,1.8860046320495023,0.0
Canada,stefan,both,0.25,allA,325,31.564074550109993,0.18569985019187812,31.551471564778762,31.4182920889597,31.71489820539278,22.98261297579386,-16.808137407414776,4.307262953112375,0.0,3,1,1.2978429886087222,0.0
Canada,stefan,both,0.25,allA,355,31.68651431499455,0.2865215072338224,31.702266429997856,31.454406635179808,31.91232114880797,26.710883152185417,-15.990474416233708,3.989930019390878,0.0,3,1,1.3361356206680728,0.0
