target,covariate,smd,mean_target,mean_alaska,sd_alaska,frac_out_of_range
Lena,dem_elev,-0.5708,24.932917197908075,181.84215300820202,274.8946117111606,0.0169
Lena,dem_slope,0.8942,2.8058151835940923,1.399505900963838,1.572642073879445,0.0115
Lena,dem_aspect_sin,0.0034,-0.06027081049715741,-0.06264024185136277,0.6870525248719316,0.0
Lena,dem_aspect_cos,0.0454,-0.024901752303374276,-0.05768227067336716,0.7216008500482517,0.0
Lena,dem_tpi,0.9291,3.775026563678423,0.3322139534199569,3.705335767769674,0.001
Lena,dem_rough,0.3862,6.844886253710692,4.604529477617556,5.800575893471224,0.0
Lena,e5_maat,-1.428,-10.728857161952,-5.218376572696868,3.8589574458878384,1.0
Lena,e5_tdd,-0.2592,869.6135221614154,1012.6724253705928,551.8497866823501,0.0
Lena,e5_fdd,2.0274,4752.697283184472,2893.492136062427,917.0311714112186,1.0
Lena,e5_sqrt_tdd,-0.1362,29.47561562207563,30.643929961919227,8.580325278019894,0.0
Lena,e5_twarm,-0.385,8.960817565298951,10.372708037024681,3.6668200134168116,0.0
Lena,e5_tcold,-2.5386,-30.242388969663835,-19.876627891638094,4.083319849518482,1.0
Lena,e5_stl1,-1.2649,-2.213016195100574,0.44564474153580336,2.101854007035509,0.3516
Lena,e5_swe,0.0092,0.051789595423728435,0.05161559994971947,0.018995700845967762,0.0
Lena,sg_clay_5_15,1.1519,22.82010889292196,18.191628693222906,4.0182277671951185,0.0
Lena,sg_sand_5_15,1.6001,49.11125226860254,36.78630016169372,7.702784395513122,0.0
Lena,sg_silt_5_15,-1.8947,28.11502722323049,45.04264295163955,8.934304706476668,0.9209
Lena,sg_bdod_5_15,2.3549,1.0078051554207734,0.643704983095651,0.15461396499699573,0.2627
Lena,sg_cfvo_5_15,2.1129,12.518366606170598,5.171666911656869,3.4770637952541827,0.0
Lena,sg_phh2o_5_15,1.0613,5.985807622504538,5.563236807291503,0.39815197289552556,0.0
Lena,sg_soc_0_5,-4.0947,103.83915845337377,336.8058430104586,56.89505731772616,0.4851
