cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,seed,n_splits,n_cells,n_blocks,coverage,cov_ci_lo,cov_ci_hi,width_mean,width_median,interval_score,is_ci_lo,is_ci_hi,is_width_part,is_under_part,is_over_part,rmse_point,n_seed,family_tag,note
noinfo,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,2,1,2958.0,20.0,0.526369168356998,0.3815683710439811,0.5873252586546842,24.60475007331023,23.965503692626953,181.04810660822213,128.64757313370612,331.91679301088925,24.60475007331023,17.662015191439924,138.78134134347198,24.984381011469413,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,mean,1,2958.0,20.0,0.34899707009240477,0.25842652541389444,0.4685489963585742,24.629584810315578,24.081141153971355,224.5637816363554,166.6733068695534,332.11001660546754,24.629584810315578,121.00048448122574,78.93371234481408,25.51140476630442,3.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,0,1,2958.0,20.0,0.27586206896551724,0.1954362694176069,0.3558039221187296,21.22496087104586,19.22862434387207,190.45251035832166,147.47522241730707,310.60048276693374,21.22496087104586,108.18079559931432,61.04675388796146,22.1715978236846,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,1,1,2958.0,20.0,0.21839080459770116,0.16241642001625592,0.3558430254492146,24.960897771307874,20.141822814941406,246.04698020641885,183.63294021624935,334.50009417888583,24.960897771307874,174.7915467902565,46.29453564485452,23.997630940940148,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,2,1,2958.0,20.0,0.24070317782285328,0.1514766794667127,0.3151147293428985,14.725028614646442,12.017618179321289,203.09439917458644,168.2254176337723,357.66618668702387,14.725028614646442,106.88501549403303,81.48435506590697,22.03913547934203,1.0,direct,
noinfo,Lena,alaska,x25,none,none,0.0,nflow,0,1.0,mean,1,2958.0,20.0,0.24498535046202388,0.16977645630019186,0.3422538923036142,20.303629085666724,17.12935511271159,213.19796324644233,166.44452675577622,334.25558787761446,20.303629085666724,129.95245262786796,62.941881532907644,22.73612141465559,3.0,direct,
labels,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,0,1,1496.0,11.0,0.7767379679144385,0.5188985236317313,0.8241291102514506,47.58342042517535,43.641117095947266,85.58525627373375,66.99614880117389,195.33357772798405,47.58342042517535,12.46331258763604,25.538523260922357,16.361152751648717,1.0,direct,
labels,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,1,1,1496.0,11.0,0.7981283422459893,0.5044547059622436,0.8521335389756441,38.20203889755004,34.925058364868164,76.73026522298122,55.5199507585518,196.88653034933344,38.20203889755004,8.09948599912266,30.42874032630852,14.970632445075342,1.0,direct,
labels,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,2,1,1496.0,11.0,0.8188502673796791,0.7182786201968879,0.8442814439047027,39.76117640064362,34.07988739013672,65.82129415110046,58.37830356923685,120.68551437278936,39.76117640064362,10.136472431733646,15.923645318723192,14.778334768949463,1.0,direct,
labels,Lena,alaska,x25,none,none,0.0,cfm,0,1.0,mean,1,1496.0,11.0,0.7979055258467023,0.5805439499302877,0.8401813643772659,41.848878574456336,37.54868761698405,76.04560521593847,60.29813437632085,170.9685408167023,41.848878574456336,10.23309033949745,23.96363630198469,15.37003998855784,3.0,direct,
labels,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,0,1,1496.0,11.0,0.7526737967914439,0.5555343511450382,0.8209047110521922,64.33962188748752,35.35853099822998,102.70004631002533,89.05484787512881,171.53485729252412,64.33962188748752,14.068454671033564,24.29196975150423,15.124498139284578,1.0,direct,
labels,Lena,alaska,x25,none,none,0.0,ddpm,0,1.0,1,1,1496.0,11.0,0.7994652406417112,0.5603213554114032,0.8376438171401389,59.9407316828794,32.177846908569336,95.06076805081597,65.69282287891785,195.30313907451063,59.9407316828794,6.384121446048512,28.735914921888057,14.622895748689153,1.0,direct,
