target,anchor,method,lam,physics_rmse,n0,n3,n3_win,n5,n5_win,n10,n10_win,n20,n20_win,n40,n40_win,n80,n80_win,rmse_allA,n_allA,n_min_mean,n_min_win90,beats_physics_all_larger_n
Canada,none,direct_pseudo,1.0,25.368523071219926,24.754852346330598,24.816362877033217,0.6866666666666666,24.609625994071116,0.6533333333333333,24.738637684465452,0.6666666666666666,24.819986765022154,0.6533333333333333,25.598588609258513,0.5266666666666666,26.548927978645292,0.46,32.04015764320542,372.3,3,-1,False
Canada,stefan,both,0.25,25.368523071219926,25.186963742235825,29.898629064853274,0.22666666666666666,28.891455434759987,0.2866666666666667,29.241627423457214,0.15666666666666668,28.9565768123851,0.19,29.395578670640226,0.11,29.00582389161478,0.09666666666666666,28.134191921711903,372.3,-1,-1,False
Canada,stefan,both,0.5,25.368523071219926,25.056911730587117,29.807052906887723,0.23666666666666666,28.769530725777884,0.31333333333333335,29.011955351391723,0.22333333333333333,28.556637855524624,0.21666666666666667,28.86120744157821,0.14666666666666667,28.577644973502338,0.10666666666666667,27.257309652006185,372.3,-1,-1,False
Canada,stefan,both_ls,0.25,25.368523071219926,25.186963742235825,33.29932671345736,0.19,30.528008904337238,0.28,30.07188276576442,0.14666666666666667,29.34203794302362,0.18666666666666668,29.6113076317956,0.11,29.099681560246058,0.09666666666666666,28.168986178445635,372.3,-1,-1,False
Canada,stefan,both_ls,0.5,25.368523071219926,25.056911730587117,33.22602841733911,0.20666666666666667,30.420082383090328,0.29,29.843167853079333,0.21,28.937290881232432,0.21666666666666667,29.071466097184608,0.14666666666666667,28.668701147041272,0.10666666666666667,27.29140598236133,372.3,-1,-1,False
Canada,stefan,locscale,0.0,25.368523071219926,25.368523071219926,,,44.8835229274523,0.185,35.4493960926739,0.25,31.878227524088693,0.195,30.611558509347038,0.195,29.065483661969044,0.18,24.816736279680814,372.3,-1,-1,False
Canada,stefan,refit,0.0,25.368523071219926,25.368523071219926,32.44769532354258,0.2,31.244529093966207,0.185,30.605860176103143,0.09,30.05358777336931,0.08,30.203378774750128,0.08,29.60155525685929,0.065,29.106675763236844,372.3,-1,-1,False
Canada,stefan,resid,0.25,25.368523071219926,25.186963742235825,25.176878768652113,0.6633333333333333,25.132185318442225,0.6966666666666667,25.14960639148792,0.7133333333333334,25.153050640085937,0.6933333333333334,25.199360197195794,0.6733333333333333,25.379513879548043,0.5733333333333334,22.852869100448885,372.3,3,-1,False
Canada,stefan,resid,0.5,25.368523071219926,25.056911730587117,25.081406032197364,0.63,24.99051021191736,0.6533333333333333,25.036352846505544,0.6466666666666666,25.047655755341154,0.6666666666666666,25.168155361964303,0.6566666666666666,25.54065227628743,0.5366666666666666,23.33376413860547,372.3,3,-1,False
Canada,stefan,shrink,0.0,25.368523071219926,25.368523071219926,29.45776354269385,0.23,29.495247472217766,0.2,29.740680497090544,0.095,29.645776371850626,0.08,29.987540530505644,0.08,29.506601655408325,0.065,29.07129951347424,372.3,-1,-1,False
Canada,stefan,shrink_k10,0.0,25.368523071219926,25.368523071219926,26.374303802590912,0.295,26.732047782265887,0.26,27.512596286556235,0.11,28.172561367328154,0.105,29.023729933145983,0.085,29.0275360131666,0.065,28.873733064752116,372.3,-1,-1,False
Canada,stefan_cci,both,0.25,25.008766333618034,24.44810253383083,26.039250920331387,0.28,25.57512791609639,0.42,25.8072951942961,0.36333333333333334,25.83238109079727,0.3566666666666667,26.003854442841483,0.2733333333333333,26.090126956052657,0.22,26.760337935137148,372.3,-1,-1,False
Canada,stefan_cci,both,0.5,25.008766333618034,24.15718465996328,25.90913670846745,0.37666666666666665,25.438356417168972,0.4666666666666667,25.725926430063247,0.43,25.74373698169635,0.43666666666666665,26.005557064249146,0.36333333333333334,26.18747699504713,0.3,26.719336451464326,372.3,-1,-1,False
Canada,stefan_cci,both_ls,0.25,25.008766333618034,24.44810253383083,27.206151698955885,0.25666666666666665,26.090873675921195,0.38666666666666666,26.07543425323236,0.3433333333333333,25.95874375324229,0.3466666666666667,26.072714295768144,0.2733333333333333,26.121771279582628,0.22,26.775917279763735,372.3,-1,-1,False
Canada,stefan_cci,both_ls,0.5,25.008766333618034,24.15718465996328,27.141600306577114,0.30333333333333334,25.99774567951681,0.4166666666666667,26.016311311097965,0.4033333333333333,25.878851710258807,0.42333333333333334,26.079080276825536,0.35,26.221154669066117,0.2966666666666667,26.734475473776723,372.3,-1,-1,False
Canada,stefan_cci,locscale,0.0,25.008766333618034,25.008766333618034,,,32.77815815024966,0.175,28.40041286982616,0.24,27.168595498093527,0.165,26.725647992131723,0.175,26.313718979154377,0.205,25.653133962682197,372.3,-1,-1,False
Canada,stefan_cci,refit,0.0,25.008766333618034,25.008766333618034,27.1964874890286,0.27,26.62242907956579,0.305,26.432305002091354,0.215,26.299116424222525,0.205,26.340727247527074,0.185,26.204166649279472,0.165,27.085446404268403,372.3,-1,-1,False
Canada,stefan_cci,resid,0.25,25.008766333618034,24.44810253383083,24.52464272384117,0.68,24.483088345314123,0.69,24.557703967458522,0.68,24.620215357821145,0.6966666666666667,24.69656117452261,0.66,24.885956923951277,0.5533333333333333,24.15219029321786,372.3,3,-1,True
Canada,stefan_cci,resid,0.5,25.008766333618034,24.15718465996328,24.29770632530607,0.61,24.219370401274738,0.6133333333333333,24.373876085488206,0.61,24.498610824893827,0.6466666666666666,24.67546355987355,0.5766666666666667,25.07106128576039,0.47,24.600309624007803,372.3,3,-1,False
Canada,stefan_cci,shrink,0.0,25.008766333618034,25.008766333618034,26.234612279069616,0.285,26.103926212192476,0.31,26.178322019193637,0.225,26.17820916461893,0.205,26.27675472410538,0.185,26.175841313595853,0.165,27.069587115385172,372.3,-1,-1,False
Canada,stefan_cci,shrink_k10,0.0,25.008766333618034,25.008766333618034,25.305313504813427,0.39,25.346663763837793,0.365,25.55653094767635,0.25,25.754263330354032,0.22,25.9959063802939,0.185,26.033991305506078,0.165,26.980941090654277,372.3,-1,-1,False
Lena,none,direct_pseudo,1.0,20.441711354161676,20.514406130333004,20.48721621809176,0.4066666666666667,20.510171556488913,0.3933333333333333,20.550275897435984,0.4533333333333333,20.60322562543729,0.4,20.60602054706197,0.3466666666666667,20.61335496889793,0.44666666666666666,26.52534473211846,1483.3333333333333,-1,-1,False
Lena,stefan,both,0.25,20.441711354161676,20.948807260138004,21.69178834508254,0.48333333333333334,21.449973570596267,0.4166666666666667,21.252693546672326,0.48333333333333334,21.203105690375374,0.49,20.496181756227152,0.56,20.05930228251537,0.65,24.46474252508338,1483.3333333333333,80,-1,True
Lena,stefan,both,0.5,20.441711354161676,21.5597735977487,22.041576358646257,0.43333333333333335,21.8190650384986,0.37666666666666665,21.69203538623532,0.48,21.91605094601403,0.4866666666666667,20.830680225934447,0.5033333333333333,20.202652364208742,0.6466666666666666,24.37690197811425,1483.3333333333333,80,-1,True
Lena,stefan,both_ls,0.25,20.441711354161676,20.948807260138004,23.123180301558424,0.4,22.086119592934715,0.41,21.539872505174376,0.4666666666666667,21.30330850689009,0.4866666666666667,20.524563467744972,0.5633333333333334,20.066371233508026,0.64,24.46490096147015,1483.3333333333333,80,-1,True
Lena,stefan,both_ls,0.5,20.441711354161676,21.5597735977487,23.37954631861028,0.39,22.401503141025223,0.37,21.95010606517296,0.47333333333333333,22.004699975238015,0.49666666666666665,20.854678064461325,0.5,20.20710700564025,0.6366666666666667,24.377130299854638,1483.3333333333333,80,-1,True
Lena,stefan,locscale,0.0,20.441711354161676,20.441711354161676,,,79.31539465497895,0.15,52.90778301959271,0.235,27.48369943331508,0.27,24.301769578000243,0.33,22.617248686060737,0.355,24.593728756822923,1483.3333333333333,-1,-1,False
