scope,method,feature,group,delta_rmse_cm,delta_rmse_sd,rmse_base,n_rep,rank
alaska_oof,catboost_lo,dem_elev,지형,-0.007955544231628763,0.0029555416159374377,16.038445856947924,10,22
alaska_oof,catboost_lo,dem_slope,지형,-0.01425086192293712,0.009355429229599019,16.038445856947924,10,24
alaska_oof,catboost_lo,dem_aspect_sin,지형,-0.0014289647258951988,0.004694602232335932,16.038445856947924,10,18
alaska_oof,catboost_lo,dem_aspect_cos,지형,0.02546429654255782,0.004559713425875356,16.038445856947924,10,7
alaska_oof,catboost_lo,dem_tpi,지형,0.05855949448872089,0.005807374312918602,16.038445856947924,10,4
alaska_oof,catboost_lo,dem_rough,지형,0.044669236226524946,0.006134552190835631,16.038445856947924,10,5
alaska_oof,catboost_lo,e5_maat,기후,0.020552552687179215,0.00413860886608406,16.038445856947924,10,10
alaska_oof,catboost_lo,e5_tdd,기후,-0.003842609752723902,0.0018134741074416845,16.038445856947924,10,21
alaska_oof,catboost_lo,e5_fdd,기후,0.08552622676774498,0.004444315843230119,16.038445856947924,10,3
alaska_oof,catboost_lo,e5_sqrt_tdd,기후,-0.0026440748588381522,0.004711011543480238,16.038445856947924,10,20
alaska_oof,catboost_lo,e5_twarm,기후,-0.0022754488752841696,0.00026500563815279223,16.038445856947924,10,19
alaska_oof,catboost_lo,e5_tcold,기후,0.022713354757895488,0.0009876461157403455,16.038445856947924,10,8
alaska_oof,catboost_lo,e5_stl1,기후,0.03120538522533529,0.004633146716228498,16.038445856947924,10,6
alaska_oof,catboost_lo,e5_swe,기후,0.09380378536677973,0.006240300485380288,16.038445856947924,10,2
alaska_oof,catboost_lo,sg_clay_5_15,토양,-0.0009196822794528714,0.0020940710844646543,16.038445856947924,10,17
alaska_oof,catboost_lo,sg_sand_5_15,토양,0.021529366920675842,0.007861773751786642,16.038445856947924,10,9
alaska_oof,catboost_lo,sg_silt_5_15,토양,0.013345037228518564,0.005201721653426955,16.038445856947924,10,13
alaska_oof,catboost_lo,sg_bdod_5_15,토양,0.01956302068249798,0.0023648290329902114,16.038445856947924,10,11
alaska_oof,catboost_lo,sg_cfvo_5_15,토양,-0.026990713748406846,0.004467074351731347,16.038445856947924,10,25
alaska_oof,catboost_lo,sg_phh2o_5_15,토양,0.0011708652671980958,0.004295913551152409,16.038445856947924,10,15
alaska_oof,catboost_lo,sg_soc_0_5,토양,0.11593270480875262,0.017729559181492174,16.038445856947924,10,1
alaska_oof,catboost_lo,sg_soc_5_15,토양,0.006201870740560977,0.0021386577754058393,16.038445856947924,10,14
alaska_oof,catboost_lo,sg_soc_15_30,토양,-0.010251961482341088,0.004251261121632657,16.038445856947924,10,23
alaska_oof,catboost_lo,cci_alt,CCI,0.016267081303769616,0.008544286592980892,16.038445856947924,10,12
alaska_oof,catboost_lo,cci_valid,CCI,0.0,0.0,16.038445856947924,10,16
alaska_oof,stefan_cb1,dem_elev,지형,-0.012730599479129624,0.0021273998820577032,14.293500625267564,10,21
alaska_oof,stefan_cb1,dem_slope,지형,-0.1613681806107353,0.016613610646947087,14.293500625267564,10,25
alaska_oof,stefan_cb1,dem_aspect_sin,지형,-0.021027651709673557,0.004664264230418412,14.293500625267564,10,22
alaska_oof,stefan_cb1,dem_aspect_cos,지형,0.0036666099059829093,0.0034963191172397647,14.293500625267564,10,14
alaska_oof,stefan_cb1,dem_tpi,지형,0.10237544771036244,0.005240775420285372,14.293500625267564,10,2
alaska_oof,stefan_cb1,dem_rough,지형,-0.02304786606285365,0.007951724991828637,14.293500625267564,10,24
alaska_oof,stefan_cb1,e5_maat,기후,-0.0036779832837121164,0.002404627851558316,14.293500625267564,10,17
alaska_oof,stefan_cb1,e5_tdd,기후,-0.007684708410234364,0.0018218941650390583,14.293500625267564,10,19
alaska_oof,stefan_cb1,e5_fdd,기후,0.015558143830442716,0.0013871919375446793,14.293500625267564,10,10
alaska_oof,stefan_cb1,e5_sqrt_tdd,기후,1.024073515824786,0.03188983323712375,14.293500625267564,10,1
alaska_oof,stefan_cb1,e5_twarm,기후,0.027649738070132913,0.008813969415387696,14.293500625267564,10,5
alaska_oof,stefan_cb1,e5_tcold,기후,0.013694525445809624,0.0009131721584636837,14.293500625267564,10,12
alaska_oof,stefan_cb1,e5_stl1,기후,0.005872351477716542,0.0011920161772327497,14.293500625267564,10,13
alaska_oof,stefan_cb1,e5_swe,기후,0.024070836653145557,0.009207271276425798,14.293500625267564,10,7
alaska_oof,stefan_cb1,sg_clay_5_15,토양,-0.006882964137009395,0.002412816746937415,14.293500625267564,10,18
alaska_oof,stefan_cb1,sg_sand_5_15,토양,-0.0078713965969321,0.008927138746471943,14.293500625267564,10,20
alaska_oof,stefan_cb1,sg_silt_5_15,토양,0.09778328047387301,0.011979000665163223,14.293500625267564,10,3
alaska_oof,stefan_cb1,sg_bdod_5_15,토양,0.01671225614970382,0.004128325824152775,14.293500625267564,10,8
