cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,rmse_cc,n_cc,regime,family_tag
covonly,Canada,alaska,x14,none,none,0.0,catboost_lo,0,1.0,33.90544444444445,1.1640174842774964,33.876391582838274,-15.831222222222221,374,19,3,3,0.4000000000000001,33.93321147933966,373,main,direct
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,0.3777777777777778,29.760095685463657,373,main,analytic
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.25,30.136444444444447,2.040334676613767,30.135179707101383,-6.471555555555555,374,19,3,3,0.3777777777777778,30.16163659058992,373,main,residual
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.5,30.62233333333333,1.8970351428830523,30.617537398542648,-7.9784444444444444,374,19,3,3,0.3777777777777778,30.64791157082189,373,main,residual
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.75,31.188888888888886,1.759885234052787,31.178407444837333,-9.485999999999999,374,19,3,3,0.3777777777777778,31.214924202013794,373,main,residual
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,1.0,31.831888888888887,1.6315365059876463,31.81361489783563,-10.99288888888889,374,19,3,3,0.3777777777777778,31.85835537276431,373,main,residual
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.0,29.476,2.0593015806335906,29.476039739087785,-5.649333333333334,374,19,3,3,0.4666666666666666,29.500905295961903,373,main,analytic
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.25,29.802222222222223,1.8831936329701369,29.796308107272285,-6.289222222222222,374,19,3,3,0.4666666666666666,29.8274044616311,373,main,residual
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.5,30.26488888888889,1.7204103623306901,30.24215254255797,-6.929555555555556,374,19,3,3,0.4666666666666666,30.290731728355308,373,main,residual
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.75,30.858333333333334,1.5724081672531607,30.808171361832166,-7.569555555555556,374,19,3,3,0.4666666666666666,30.884622881228022,373,main,residual
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,1.0,31.57477777777778,1.4414540626793535,31.48795858778209,-8.209333333333333,374,19,3,3,0.4666666666666666,31.601706194532426,373,main,residual
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.0,32.99633333333333,5.4789665388039515,32.99633076472907,10.418666666666667,374,19,3,3,0.35555555555555557,33.02277345491178,373,main,analytic
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.25,31.036777777777775,4.594945367022975,31.03115379491371,6.286555555555555,374,19,3,3,0.35555555555555557,31.061978104227126,373,main,residual
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.5,30.084555555555553,3.669384512926341,30.062775919620236,2.1544444444444446,374,19,3,3,0.3666666666666667,30.10956440518882,373,main,residual
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.75,30.224888888888888,2.791315825383621,30.179529570145245,-1.9777777777777779,374,19,3,3,0.3666666666666667,30.25030125815017,373,main,residual
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1.0,31.438444444444443,2.0572121732883843,31.36780769774272,-6.11011111111111,374,19,3,3,0.3666666666666667,31.465160006993496,373,main,residual
covonly,Canada,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.0,33.872,1.443023215336471,33.87222319714467,-14.797333333333333,374,19,3,3,0.4444444444444444,33.90119160342342,373,main,analytic
covonly,Canada,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.25,33.711777777777776,1.4383537014136547,33.70961503021666,-15.042666666666667,374,19,3,3,0.4444444444444444,33.74059815412148,373,main,residual
covonly,Canada,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.5,33.592999999999996,1.4163822851821395,33.58432642056244,-15.288222222222222,374,19,3,3,0.4444444444444444,33.62165593025677,373,main,residual
covonly,Canada,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.75,33.51677777777778,1.3770207911499572,33.49674521704445,-15.533555555555557,374,19,3,3,0.4444444444444444,33.54489778255002,373,main,residual
covonly,Canada,alaska,x25,emap_cb,none,0.0,catboost_lo,0,1.0,33.48288888888889,1.3215624731242819,33.44710832882237,-15.779000000000002,374,19,3,3,0.4444444444444444,33.510695235410104,373,main,residual
covonly,Canada,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.0,38.794999999999995,0.7729081446071056,38.794966668106326,-22.141000000000002,374,19,3,3,0.3444444444444445,38.819049637319154,373,main,analytic
covonly,Canada,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.25,39.07966666666667,0.7804367011131917,39.07859059687804,-22.692111111111114,374,19,3,3,0.3444444444444445,39.104919224067565,373,main,residual
covonly,Canada,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.5,39.39144444444444,0.788531288277511,39.38796285016608,-23.243333333333336,374,19,3,3,0.3444444444444445,39.418294451035145,373,main,residual
covonly,Canada,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.75,39.73066666666667,0.7970615478814091,39.72247374284601,-23.794555555555558,374,19,3,3,0.3444444444444445,39.758537198950684,373,main,residual
covonly,Canada,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1.0,40.095777777777776,0.8075293137667422,40.08148322372269,-24.345555555555553,374,19,3,3,0.3444444444444445,40.124977380200704,373,main,residual
covonly,Canada,alaska,x25,ku_cal,none,0.0,catboost_lo,0,0.0,31.896333333333335,3.132296974000603,31.896148688596238,18.929666666666666,374,19,3,3,0.4444444444444444,31.922805677650942,373,main,analytic
covonly,Canada,alaska,x25,ku_cal,none,0.0,catboost_lo,0,0.25,30.479888888888883,2.9361339156057524,30.478089113090785,16.531666666666666,374,19,3,3,0.4444444444444444,30.50579779560837,373,main,residual
covonly,Canada,alaska,x25,ku_cal,none,0.0,catboost_lo,0,0.5,29.217222222222222,2.7359256067967057,29.208968190612136,14.133222222222221,374,19,3,3,0.4444444444444444,29.241700574546886,373,main,residual
