axis,region,method,bin,n,coverage,width_mean,pred_lo,pred_hi,y_mean
aoa_di,Lena,raw,inside,1870,0.12495543672014262,14.760127774641926,,,
aoa_di,Lena,raw,outside,1088,0.16176470588235295,12.430503945147242,,,
aoa_di,Lena,cqr_ak,inside,1870,0.5110516934046345,43.090818679260295,,,
aoa_di,Lena,cqr_ak,outside,1088,0.6712622549019607,40.7611948497656,,,
aoa_di,Lena,cqr_iw,inside,1870,0.3058823529411765,30.193823110360547,,,
aoa_di,Lena,cqr_iw,outside,1088,0.4160539215686274,27.864199280865865,,,
aoa_di,Lena,anchor_ak,inside,1870,0.896969696969697,64.95782941421443,,,
aoa_di,Lena,anchor_ak,outside,1088,0.950674019607843,64.95782941421443,,,
aoa_di,Lena,anchor_iw,inside,1870,0.9140819964349376,59.64242650020234,,,
aoa_di,Lena,anchor_iw,outside,1088,0.9635416666666669,59.642426500202355,,,
aoa_di,Canada,raw,inside,354,0.18173258003766476,14.135628618021148,,,
aoa_di,Canada,raw,outside,393,0.2408821034775233,13.148221952474945,,,
aoa_di,Canada,cqr_ak,inside,354,0.5451977401129944,42.46631952263951,,,
aoa_di,Canada,cqr_ak,outside,393,0.640373197625106,41.4789128570933,,,
aoa_di,Canada,cqr_iw,inside,354,0.4519774011299435,36.7390783164355,,,
aoa_di,Canada,cqr_iw,outside,393,0.5835453774385072,35.75167165088929,,,
aoa_di,Canada,anchor_ak,inside,354,0.7325800376647834,64.95782941421443,,,
aoa_di,Canada,anchor_ak,outside,393,0.8049194232400337,64.95782941421443,,,
aoa_di,Canada,anchor_iw,inside,354,0.8728813559322034,76.62763483322395,,,
aoa_di,Canada,anchor_iw,outside,393,0.8787107718405428,76.62763483322395,,,
aoa_di,Russia_W,raw,inside,25,0.18666666666666668,22.776143650770617,,,
aoa_di,Russia_W,raw,outside,3,0.0,19.195432416571002,,,
aoa_di,Russia_W,cqr_ak,inside,25,0.36,51.106834555388986,,,
aoa_di,Russia_W,cqr_ak,outside,3,0.0,47.526123321189374,,,
aoa_di,Russia_W,cqr_iw,inside,25,0.33333333333333326,37.18056976927112,,,
aoa_di,Russia_W,cqr_iw,outside,3,0.0,33.599858535071505,,,
aoa_di,Russia_W,anchor_ak,inside,25,0.5733333333333333,64.95782941421444,,,
aoa_di,Russia_W,anchor_ak,outside,3,0.5555555555555555,64.95782941421443,,,
aoa_di,Russia_W,anchor_iw,inside,25,0.56,60.30732498005691,,,
aoa_di,Russia_W,anchor_iw,outside,3,0.5555555555555555,60.30732498005691,,,
aoa_di,Russia_C,raw,inside,3,0.0,15.527283142395367,,,
aoa_di,Russia_C,raw,outside,4,0.3333333333333333,11.367160373365035,,,
aoa_di,Russia_C,cqr_ak,inside,3,0.7777777777777777,43.857974047013734,,,
aoa_di,Russia_C,cqr_ak,outside,4,0.5,39.6978512779834,,,
aoa_di,Russia_C,cqr_iw,inside,3,0.3333333333333333,31.27423877745102,,,
aoa_di,Russia_C,cqr_iw,outside,4,0.5,27.11411600842069,,,
aoa_di,Russia_C,anchor_ak,inside,3,1.0,64.95782941421443,,,
aoa_di,Russia_C,anchor_ak,outside,4,0.25,64.95782941421443,,,
aoa_di,Russia_C,anchor_iw,inside,3,1.0,64.8011342459057,,,
aoa_di,Russia_C,anchor_iw,outside,4,0.16666666666666666,64.8011342459057,,,
aoa_di,Russia_E,raw,inside,19,0.3157894736842105,15.11112707439119,,,
aoa_di,Russia_E,raw,outside,8,0.2916666666666667,14.424538500283369,,,
aoa_di,Russia_E,cqr_ak,inside,19,0.6842105263157894,43.44181797900954,,,
aoa_di,Russia_E,cqr_ak,outside,8,0.8333333333333333,42.75522940490174,,,
aoa_di,Russia_E,cqr_iw,inside,19,0.6666666666666666,40.618980999129036,,,
aoa_di,Russia_E,cqr_iw,outside,8,0.75,39.932392425021206,,,
aoa_di,Russia_E,anchor_ak,inside,19,0.7719298245614035,64.95782941421444,,,
aoa_di,Russia_E,anchor_ak,outside,8,1.0,64.95782941421443,,,
aoa_di,Russia_E,anchor_iw,inside,19,0.7719298245614035,78.22985176510367,,,
aoa_di,Russia_E,anchor_iw,outside,8,1.0,78.22985176510369,,,
aoa_di,Greenland,raw,outside,1,0.3333333333333333,9.504218961264122,,,
aoa_di,Greenland,cqr_ak,outside,1,1.0,37.83490986588249,,,
aoa_di,Greenland,cqr_iw,outside,1,1.0,34.26589478306132,,,
aoa_di,Greenland,anchor_ak,outside,1,0.6666666666666666,64.95782941421443,,,
aoa_di,Greenland,anchor_iw,outside,1,1.0,74.71659768140749,,,
aoa_di,pooled_main6,raw,inside,2271,0.13591662997211212,14.754975043799986,,,
aoa_di,pooled_main6,raw,outside,1497,0.18347806724560228,12.638340003573518,,,
pred_quintile,pooled_main6,raw,P1,754,0.19142351900972587,12.351511105714915,43.1458941087562,49.38946379874554,42.024436079024674
pred_quintile,pooled_main6,raw,P2,753,0.17441345728198315,13.388947587792824,49.39294669409739,51.3344934266835,42.32011937108344
pred_quintile,pooled_main6,raw,P3,754,0.1816976127320955,14.36290199001132,51.33461837644429,53.403783821114736,42.65380589901301
pred_quintile,pooled_main6,raw,P4,753,0.12084993359893759,14.974438650419861,53.40628611925657,57.7332932145481,46.21633630629574
pred_quintile,pooled_main6,raw,P5,754,0.10565870910698495,14.493164453935803,57.73647553829466,70.04202439838303,59.9957952410759
pred_quintile,Lena,raw,P1,593,0.1759415401911186,11.834995912814936,44.07636265022261,49.0784659687287,40.622490163012934
pred_quintile,Lena,raw,P2,594,0.15656565656565655,12.59872952414955,49.089549493180094,51.01774189341453,41.371877104377106
pred_quintile,Lena,raw,P3,588,0.1570294784580499,13.979344096016359,51.01957347532965,52.961361149246706,39.94942743764173
pred_quintile,Lena,raw,P4,591,0.11111111111111109,15.199598777696277,52.96590386896148,56.85206769759255,43.125595036661025
pred_quintile,Lena,raw,P5,592,0.09177927927927927,15.914209647264178,56.86683540948925,65.79086854828428,44.80591216216216
pred_quintile,Canada,raw,P1,150,0.2866666666666667,15.27238202022156,46.67389865909931,50.82491587518937,42.220757671957664
pred_quintile,Canada,raw,P2,152,0.3114035087719298,14.929505978216953,50.82929142096972,52.47493294685908,49.902167672813334
pred_quintile,Canada,raw,P3,147,0.1791383219954648,14.058304235053088,52.54322678287782,57.24821088897739,52.445707855696526
pred_quintile,Canada,raw,P4,149,0.1476510067114094,11.79392897536233,57.30047961004009,60.63549421762057,81.62940839560889
pred_quintile,Canada,raw,P5,149,0.13646532438478745,11.99500272817541,60.65482783827375,70.04202439838303,87.55678593225574
aoa_di,pooled_main6,cqr_ak,inside,2271,0.5165125495376486,43.085665948418345,,,
aoa_di,pooled_main6,cqr_ak,outside,1497,0.6624359830772656,40.96903090819188,,,
pred_quintile,pooled_main6,cqr_ak,P1,754,0.68921308576481,40.68220201033328,43.1458941087562,49.38946379874554,42.024436079024674
pred_quintile,pooled_main6,cqr_ak,P2,753,0.6507304116865871,41.719638492411185,49.39294669409739,51.3344934266835,42.32011937108344
pred_quintile,pooled_main6,cqr_ak,P3,754,0.6061007957559682,42.69359289462968,51.33461837644429,53.403783821114736,42.65380589901301
pred_quintile,pooled_main6,cqr_ak,P4,753,0.5064187693669765,43.30512955503823,53.40628611925657,57.7332932145481,46.21633630629574
pred_quintile,pooled_main6,cqr_ak,P5,754,0.4199823165340406,42.82385535855417,57.73647553829466,70.04202439838303,59.9957952410759
pred_quintile,Lena,cqr_ak,P1,593,0.7127599775154582,40.1656868174333,44.07636265022261,49.0784659687287,40.622490163012934
pred_quintile,Lena,cqr_ak,P2,594,0.6318742985409652,40.929420428767905,49.089549493180094,51.01774189341453,41.371877104377106
pred_quintile,Lena,cqr_ak,P3,588,0.5816326530612245,42.31003500063472,51.01957347532965,52.961361149246706,39.94942743764173
pred_quintile,Lena,cqr_ak,P4,591,0.49238578680203043,43.530289682314645,52.96590386896148,56.85206769759255,43.125595036661025
pred_quintile,Lena,cqr_ak,P5,592,0.4307432432432432,44.24490055188254,56.86683540948925,65.79086854828428,44.80591216216216
pred_quintile,Canada,cqr_ak,P1,150,0.7266666666666667,43.60307292483993,46.67389865909931,50.82491587518937,42.220757671957664
pred_quintile,Canada,cqr_ak,P2,152,0.7609649122807017,43.26019688283532,50.82929142096972,52.47493294685908,49.902167672813334
pred_quintile,Canada,cqr_ak,P3,147,0.6666666666666666,42.38899513967146,52.54322678287782,57.24821088897739,52.445707855696526
pred_quintile,Canada,cqr_ak,P4,149,0.44071588366890385,40.124619879980706,57.30047961004009,60.63549421762057,81.62940839560889
