H,label,cond,target,n_cells,n_blocks,rho_err,bias_stefan,var_stefan,rmse_stefan,bias_cci,var_cci,rmse_cci,bias_combo,var_combo,rmse_combo,delta_combo_minus_stefan,w_opt_mse,rmse_w_opt,w_opt_var,block_neg_k,block_majority,cci_recon_maxdiff
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Lena,2958,20,0.9899270497835269,5.676349241159133,435.3753311428346,21.623974469334783,-8.823063443768312,426.07059692306524,22.44809670007295,-1.573357895065971,428.54119566388454,20.760940506871332,-0.8630339624634509,0.5829392829301068,20.724633770875393,-0.0330974084814183,8,0.4,5.3405761732960855e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Canada,747,36,0.666574557117874,2.307247097129496,697.1285939746565,26.50381072868332,10.364785613520088,795.455602469156,30.04803459934425,6.336016292767844,621.3354183710991,25.719263613745216,-0.7845471149381034,0.6774521085007215,25.371183173348932,0.5983610887604113,13,0.3611111111111111,9.155273431815658e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Russia_W,28,18,0.82533930750706,-32.36599116980663,754.9319933169276,42.45573433260728,-26.661238928944467,1116.0806025594454,42.742277241458595,-29.51361504937554,846.5481278738113,41.44395735395618,-1.011776978651099,0.5314293806005836,41.439328827751844,1.0074697800581796,11,0.6111111111111112,9.155273431815658e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Russia_C,7,6,0.9229469928596923,-19.90399133591425,2453.89535517748,53.38599279097121,-14.226190476190471,3020.0232555375087,56.76625538999698,-17.065091451009113,2624.7408653927187,53.99961306920655,0.613620278235345,0.8869618054794417,53.32838606504879,1.1306088600384228,3,0.5,6.103515630684342e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Russia_E,27,19,0.9015577513755181,-9.286842482000443,722.8314177546382,28.44427641969692,-15.120383391379061,576.7824060477766,28.379718109066346,-12.203613628986663,615.9671522352685,27.656741272985457,-0.7875351467114626,0.4891714999829854,27.656382229000908,-0.03948777720961158,11,0.5789473684210527,5.3405761732960855e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),noinfo,Greenland,1,1,,-30.899070739746094,0.0,30.899070739746094,-11.5,0.0,11.5,-21.199535369873047,0.0,21.199535369873047,-9.699535369873047,-0.5928119008524487,3.552713678800501e-15,,1,1.0,0.0
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Lena,4661,15,0.9819065565590805,8.234963635434616,240.22563110946487,17.551075670351246,-6.460803475649002,245.0446416921465,16.934775559277565,0.8870792712850187,240.4342076024703,15.531294770108959,-2.019780900242287,0.45272122092797734,15.515111927637378,0.7736921689433262,7,0.4666666666666667,5.3405761732960855e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Canada,1152,29,0.677968171052627,-4.95292865148615,862.1920840261173,29.777904329432413,10.380938308324106,997.2582165835912,33.24187264196802,2.7140047393431477,779.1920938600483,28.045639867637632,-1.7322644617947809,0.630364859817294,27.790801831957136,0.6121565221178229,12,0.41379310344827586,9.155273431815658e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_W,41,16,0.783510789309625,-29.466145599810975,742.665750005326,40.136261491506474,-22.569294027634673,1225.9878759260307,41.657663266581054,-26.01772012075943,865.9767139295042,39.279746361346,-0.8565151301604743,0.6194331343149327,39.18503866469339,1.0104792652318713,11,0.6875,9.155273431815658e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_C,10,5,0.9471267408134544,-29.379469807942705,3120.92922171565,63.11958862279971,-16.893333333333327,4199.555862514417,66.96969892141914,-23.136402638753253,3544.559190596365,63.873721651856755,0.7541330290570443,0.9048075397586733,63.075166437883844,1.665493885472735,2,0.4,6.103515630684342e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Russia_E,37,17,0.9149436330821584,-14.699151107918857,915.2053122894719,33.634362720035355,-19.435259980616017,713.6199505218175,33.035575990679376,-17.067206245346934,776.9128025059299,32.68336475222739,-0.9509979678079645,0.38423972403817463,32.6479968200601,-0.17195473893810773,10,0.5882352941176471,5.3405761732960855e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),covonly,Greenland,2,1,,-30.899070739746094,0.0,30.899070739746094,-11.5,0.0,11.5,-21.199535369873047,0.0,21.199535369873047,-9.699535369873047,-0.5928119008524487,3.552713678800501e-15,,1,1.0,0.0
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Lena,2958,20,0.9899270497835269,5.676349241159133,435.3753311428346,21.623974469334783,-8.823063443768312,426.07059692306524,22.44809670007295,-1.573357895065971,428.54119566388454,20.760940506871332,-0.8630339624634509,0.5829392829301068,20.724633770875393,-0.0330974084814183,8,0.4,5.3405761732960855e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Canada,747,36,0.666574557117874,2.307247097129496,697.1285939746565,26.50381072868332,10.364785613520088,795.455602469156,30.04803459934425,6.336016292767844,621.3354183710991,25.719263613745216,-0.7845471149381034,0.6774521085007215,25.371183173348932,0.5983610887604113,13,0.3611111111111111,9.155273431815658e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Russia_W,28,18,0.82533930750706,-32.36599116980663,754.9319933169276,42.45573433260728,-26.661238928944467,1116.0806025594454,42.742277241458595,-29.51361504937554,846.5481278738113,41.44395735395618,-1.011776978651099,0.5314293806005836,41.439328827751844,1.0074697800581796,11,0.6111111111111112,9.155273431815658e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Russia_C,7,6,0.9229469928596923,-19.90399133591425,2453.89535517748,53.38599279097121,-14.226190476190471,3020.0232555375087,56.76625538999698,-17.065091451009113,2624.7408653927187,53.99961306920655,0.613620278235345,0.8869618054794417,53.32838606504879,1.1306088600384228,3,0.5,6.103515630684342e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Russia_E,27,19,0.9015577513755181,-9.286842482000443,722.8314177546382,28.44427641969692,-15.120383391379061,576.7824060477766,28.379718109066346,-12.203613628986663,615.9671522352685,27.656741272985457,-0.7875351467114626,0.4891714999829854,27.656382229000908,-0.03948777720961158,11,0.5789473684210527,5.3405761732960855e-06
H1,Stefan+CCI 앵커 − Stefan 앵커 (λ=0),deploy,Greenland,1,1,,-30.899070739746094,0.0,30.899070739746094,-11.5,0.0,11.5,-21.199535369873047,0.0,21.199535369873047,-9.699535369873047,-0.5928119008524487,3.552713678800501e-15,,1,1.0,0.0
H6,알래스카: Stefan+CCI 앵커 − Stefan (λ=0),labels,Alaska,13606,74,0.8491084761137659,-0.9932699852056589,208.01030798313127,14.456724845089976,-5.087498948030036,370.2260829540334,19.902480460993804,-3.0403848263758175,262.3764082177312,16.48090859480106,2.024183749711085,1.256130545100057,14.173209298193289,1.2582505187533743,27,0.36486486486486486,1.0681152346592171e-05
